PMC8691838.jsonl,"Two participants’ data were excluded from analyses based on behavioral performance, leaving a sample of 21 participants (nine female, mean age: 67 years, age range: 52–78)."
PMC8007214.jsonl,"Adult experimental flies were allowed to emerge and mate for 2 days before being lightly anaesthetised with CO2, and females randomly allocated onto SYA containing RU486 (200 μM) at a standard density per vial (n = 15), with a minimum 150 flies per condition."
PMC8007214.jsonl,"The data have been deposited in NCBI's Gene Expression Omnibus (GEO) (Edgar et al., 2002) under the accession number GSE151826.RT-PCR analysisAdult female flies were induced on SYA medium containing 200 μM R4486 for 7 days before being flash-frozen in liquid nitrogen."
PMC7785293.jsonl,"#: A123811 in 2000OtherMineral oilSigma-AldrichCat#: M5904Artificial selectionAn outcrossed D. melanogaster population was founded from the progeny of 377 females collected in July 2018 from banana and yeast traps set up in an allotment plot in Cambridge, UK (52°12’12.5”N 0°09’00.6”E)."
PMC7785293.jsonl,"From the progeny of each isofemale line, 5 females and five males lines were sorted into a population cage to create the source population with 3770 flies."
PMC7785293.jsonl,"48 hr after egg transfer, a single female wasp was added into vials for infection treatments and allowed to infect larvae for 24 hr."
PMC9038191.jsonl,"Nineteen healthy volunteers (10 females, 9 males; age 25 ± 4 years), mean ± standard deviation (SD; age range 20–35 years) were thus considered for this study."
PMC8331177.jsonl,"The results of the Canadian patients (unpublished) were contrasted with those of 18 healthy controls (10 males; a subset of those included in Kwan et al., 2016) age-matched to the patients (vmPFC patients: M = 61.00, SD = 9.83; healthy controls: M = 67.94, SD = 13.57, t22 = 1.15, p = 0.26)."
PMC9363122.jsonl,"The aging dataset from Looker et al., 1998 consisted of mean total femur BMD measurements in non-Hispanic white, non-Hispanic black, and Mexican American women, reported in 10-year age bins ranging from 20 to 80 years and older."
PMC8555981.jsonl,"All flies were kept on a 12 hr light/dark cycle.Sex ratio assaysTo assess the effect of transgene expression on adult sex ratios (measurement of male killing), sex ratio assays were performed as previously described (Perlmutter et al., 2019)."
PMC7806273.jsonl,"Informed patient consent was not required.Patient specimensMother–child pairs were selected from a randomized, placebo-controlled trial to determine the impact of twice-daily valacyclovir (500 mg) on breast milk HIV RNA viral load in HIV-1/HSV-2 co-infected women (NCT 00530777)."
PMC8376251.jsonl,"Mice were then housed for 3 weeks with random females to promote mating with the intent to discharge sperms in which tamoxifen has not yet induced Cre expression.After 3 weeks, each male mouse was housed with three 7–8-week-old C57BL/6 fertile females for 3 months."
PMC8007213.jsonl,"Odor concentration was 0.5 μl of 20 mM for vanillin (VNL) or 100 mM for 4-methyl-thiazole (4MT) (Wako).Habituation/dishabituation testFor the test, adult littermates (6w-old male) were kept individually in a new cage (26×40×18 cm) containing a plain filter paper for 5 min prior to the experiment."
PMC8266385.jsonl,"Materials and methodsParticipantsForty right-handed, healthy participants over 18 years of age were recruited for this study (24.28 ± 5.06 years old; 19 male, 21 female): 20 for the main experiment (Figures 2–5) and 20 for the follow-up experiment (Figure 6)."
PMC7987347.jsonl,"Rat (Rattus norvegicus; N = 10, three females) distal gut samples from adults and juveniles were collected directly from the colon shortly following trapping in New York City (NY) between February and May 2017 (Combs et al., 2018)."
PMC7987347.jsonl,"Vicuña (Vicugna vicugna; N = 5, two females) fecal samples were collected during spring 2018 from a captive population in Santiago, Chile (CHL) that was free-grazing but supplemented with hay."
PMC8490980.jsonl,"Uptake assay was performed as described previously (Gomez‐Lamarca et al, 2015).Adult tissues analysisFor the analysis of the adult fly wings, female flies were collected in 70% ethanol for 2 h, rehydrated in PBS and one wing per fly was isolated and mounted in a 50% glycerol solution."
PMC9555866.jsonl,These patients were 65% male and had a median age of 65 years.
PMC7768286.jsonl,"On day 1, a five-week-old Swiss Webster (Charles River) male, the “intruder,” was introduced to the cage divided with a clear perforated divider for 5 min."
PMC7768286.jsonl,"(2016) dataset.Projection mappingBrain tissue from six females and five males from different litters, but with a female and male from the same litter where possible, were collected at P90 and processed as previously described (Niederkofler et al., 2016)."
PMC7755395.jsonl,"Together, data from 14 unique participants (22–50 years old, five females) were analyzed, with variable and overlapping coverage in PC (n = 14), PFC (n = 13), OFC (n = 8), and MTL (n = 9)."
PMC8051945.jsonl,"Materials and methodsParticipantsA total of 28 participants took part in Experiment 1 (18 female, 10 male, M age = 23.5 (7.0)) and 18 separate participants took part in Experiment 2 (7 female, 11 male, M age = 21.5 (4.1)) for $15 per hour in gift card credit."
PMC7853720.jsonl,"A total of 338 JU1373 and 412 NIC58 control crosses were done on 107 of these days.To estimate equilibrium male frequency, we scored sex ratio after 10 generations of passaging at large population size."
PMC8933005.jsonl,"Batches from three different donors were used in this study: F1MC1 from a male Caucasian donor 1 year old (lot number 6062703.3), F6MC1 from a male Caucasian donor 6 years old (lot number 0080303.2), and F26FC1 from a female Caucasian donor 26 years old (lot number 415Z005.3)."
PMC8555988.jsonl,"56 healthy adults (38 female, age=27.3±9.2 years, 3 left-handed) were recruited in the Dallas-Fort Worth metropolitan area."
PMC8555988.jsonl,"The final sample had 48 healthy adults (33 female, age=27.6 ±9.1 years, 3 left-handed)."
PMC8555988.jsonl,"The final sample had 1342 adults (649 female, age=34.5 ± 12.8 years; report of demographics excluded another 21 participants who typed in an incorrect ID for the demographics survey and whose task data were intact but could not be linked to demographic data)."
PMC9394055.jsonl,"On the test day, the female was removed after 1 h, and a younger strange male intruder (20.4–23.0 g) and a new object were introduced into the older resident male (27.0–30.4 g) for 9 min at the same time."
PMC8853656.jsonl,"Study members (N = 1037; 91% of eligible births; 52% male) were all individuals born between April 1972 and March 1973 in Dunedin, New Zealand (NZ), who were eligible based on residence in the province and who participated in the first assessment at age 3."
PMC8853656.jsonl,This sample was 54% women and had an average age of 66 years (SD = 9) at the time blood draws for DNA methylation analysis were conducted.
PMC7787663.jsonl,"obj files).In vivo calcium imagingWe imaged brain activity following pC1 optogenetic activation (though the microscope objective) under a two-photon custom made microscope (Pacheco et al., 2021) in females, using the calcium indicator GCaMP6s (Chen et al., 2013)."
PMC7806257.jsonl,"Male heads were incubated for 5 min on a ThermoMixer (Eppendorf 5382000023), and 25 min in a rotating hybridization oven, and female heads were incubated for 10 min on the ThermoMixer and 50 min in rotating oven, all at 37°C."
PMC7806257.jsonl,"For each trial, 10 female Liverpool-IB12 virgin mosquitoes were crossed to 11 virgin male mosquitoes of either Liverpool-IB12 or fruitless∆M/fruitless∆M-tdTomato genotype in a bucket cage for 24 hr, with access to 10% sucrose."
PMC9122496.jsonl,The stimulus was synthesized based on the characteristics of 13 males (average dominant frequency: 4.3 kHz) and 3 typical places of flowing water.
PMC9122496.jsonl,"Two monitors were moved and rotated to ensure that both the distance between the two monitors and the distance between the initial female placement point were all 1 m, resulting in a 60° angle between two frames with respect to the initial female placement position (Figure 8)."
PMC8986317.jsonl,"Images of the signals (Fg in green and pathogens in red) were analyzed in ImageJ using Pixel color counter (Gaston et al., 2020).Human urine collectionHuman urine was collected and pooled from at least two healthy female donors between 20 and 40 years of age."
PMC8843090.jsonl,"We selected DaT SPECT scans for all 210 healthy controls (aged 30–84 years; 71 females) included in the PPMI (Marek et al., 2011) database (https://www.ppmi-info.org/data)."
PMC8903827.jsonl,"Materials and methodsParticipantsStudy 1 tested 25 human adults (14 females, 11 males; 23 East/South Asians and 1 Caucasian male) who had moderate to extensive experience in caretaking or studying chimpanzees (3 months = 1; 1–5 years = 10; 5–10 years = 4; >10 years = 10)."
PMC7924952.jsonl,"In 1989, approximately 2100 women and 1600 men aged 60 years or over were living in the city of Dubbo (Jones et al., 1994), and at the time of commencement (1989), DOES involved over 60% of this population, with 98.6% of them being Caucasian origin (Bliuc et al., 2015)."
PMC9536836.jsonl,"This was followed 3–5 days later for putrescine preference behavior at 25 ℃ in a T-maze assay.For temperature shifts at testing, 1-day-old females were kept with males for 24 hr at 25 ℃."
PMC7987337.jsonl,"Materials and methodsPatients and samplesA subset of 156 young (<60 years) male COVID-19 patients was selected from the Italian GEN-COVID cohort of 1,178 SARS-CoV-2-infected participants (https://sites.google.com/dbm.unisi.it/gen-covid) (Daga et al., 2021)."
PMC7987337.jsonl,5 × 105 PBMC from COVID-19 patients 6 months after recovery and six unaffected male and female controls were stimulated for 4 hr with the TLR7 agonist imiquimod at 5 μg/mL or cell culture medium.
PMC9200407.jsonl,"Materials and methodsParticipantsIntracranial electroencephalography (iEEG) recordings were acquired from 10 patients (5 females; 9 right-handed, 1 ambidextrous) with drug-intractable epilepsy."
PMC9075957.jsonl,"Additionally, we used data generated from founder F0 (LG/J (n = 6) and SM/J (6)) high fat-fed female animals, also generated for a different study and subjected to the same weaning protocol and diets (Carson et al., 2020)."
PMC9075957.jsonl,"Expression ∼ Mitochondrial ancestry ∈ { LxS x SxL, 0 SxL x LxS, 1Expression patterns were also validated by qRT-PCR in high fat-fed female F2 animals (n = 14)."
PMC8313232.jsonl,"Dose-response curve and data analysis were done in GraphPad Prism 7 (GraphPad).BioassayWe introduced ten 5–7-old females into fly vials containing 5 mL 2% (wt/vol) agarose and 5% (wt/vol) sucrose, supplemented with a final amitraz concentration of 0–5 mM."
PMC8104963.jsonl,"The first group comprehended lay individuals (12 males out of 30, mean age = 25.03 years±4.75 Standard Deviation [SD]) who were recruited among different faculties and professions, except those related to medicine, infirmary, dentistry, and physiotherapy."
PMC8104963.jsonl,"The remaining 90 participants (26 males, mean age = 22.56 ± 2.86) were recruited among students enrolled from the 1 st to the 6th year of medical faculty at the University of Geneva and Lausanne (1 st year = 14, 2nd year = 16, 3rd year, N = 15; 4th year, N = 15; 5th year, N = 17; 6th year, N = 13)."
PMC8104963.jsonl,"A validation pilot experiment (Pilot 2) on 24 independent lay participants (seven males, age 23.54 ± 4.12) revealed that the pain of these expressions was rated on average 7.42 ± 1.26 on a scale ranging from 1 (no pain at all) to 10 (worst pain imaginable)."
PMC8104963.jsonl,"A behavioral pilot study (Pilot 3) on 23 Control students (11 males, 22.26 ± 3.86 years old), confirmed that this modified set-up led to the similar effects of Reappraisal than Experiment 1 (main effect of Target: b = 0.07, F(1,26.60) = 3.09, p=0.081; MPs: b = 0.15, F(1,20.17) = 7.08, p=0.015)."
PMC7968924.jsonl,"We collected virgin females and aged them for 3 days inside food vials supplemented with a yeast paste, then five groups of 25 virgin females of each type were transferred into vials with fresh food containing 25 wt males and allowed to mate overnight (12 hr) in the dark."
PMC7968924.jsonl,"For consistency, TARE, HGD, and HomeR (for ideal parameters) also used a cleavage rate of 99% in females and males, though TARE demonstrated lower maternal carryover (Champer et al., 2020a), and was modeled with 95% cleavage."
PMC7972454.jsonl,"In addition, knockdowns were restricted to the visualized fru P1∩DIP-α neurons with the use of tub>GAL80>.The fru P1∩DIP-α neurons were analyzed blind in 20 brains, in male and female controls and mutants, to determine the effect of DIP-ε knockdown on neuronal morphology (Source data 5)."
PMC9531791.jsonl,"In Experiment 1, nine male hamsters (Syrian golden hamster, Mesocricetus auratus) aged between 6–8 weeks were randomly assigned into three experimental groups (Fig 1)."
PMC9531791.jsonl,"In Experiment 2, 45 male hamsters, 6–8 weeks of age, were randomly divided into three groups each with 15 hamsters and infected with gene edited NEJs and the drinking water supplemented with DMN (as in Experiment 1)."
PMC7884070.jsonl,"Materials and methodsSubjectsThirty-two healthy human volunteers (12 females, 30 right-handed, aged 18–52, normal or corrected to normal vision) participated in the study."
PMC7994002.jsonl,We imaged and processed a total of n = 15 from 5 female and 10 male mice.Lightsheet imagingSamples were imaged within 7 days of completing the clearing protocol at the Gladstone Institutes Histology and Light Microscopy Core on a Zeiss Lightsheet Z.1 microscope.
PMC8428840.jsonl,"Data processing was performed using LightCycler Software (Roche).Western blotProtein from the heads of ~50 female and 60 male adult flies were extracted using RIPA buffer (150 mM NaCl, 1% NP40, 0.5% sodium deoxycholate, 0.1% SDS, 50 mM Tris-HCl, pH 8.0, and PIs)."
PMC8863376.jsonl,"To examine the survival of adult flies chronically exposed to 0.2 ppm spinosad, five replicates of 20 females (3–5 days old) were exposed for 25 days."
PMC8208265.jsonl,"The proband (II 4), a 79 years old male presented diffuse annular plaque with trophic centers and brownish hyperkeratotic edges that were partially fused on the face, trunk and extremities over 10 years [Figure 1b]."
PMC9596157.jsonl,"Two days after blood feeding, 20 females were individually placed in 50 ml tubes containing a small cup with filter paper soaked in 2 ml of distilled water as a oviposition substrate."
PMC9596157.jsonl,"stephensi with a cotton pad soaked with a 5% sucrose solution containing 107 bacteria/ml or no bacteria, and 2 days later, female mosquitoes were allowed to blood feed on an anesthetized mouse for 30 min and allowed to lay eggs."
PMC9596157.jsonl,"stephensi with a cotton pad soaked with a 5% sucrose solution containing 107 bacteria/ml or no bacteria, and 2 days later, female mosquitoes were allowed to blood feed on an anesthetized mouse for 30 min and allowed to lay eggs."
PMC9596157.jsonl,"Two days after blood feeding, 20 females were individually placed in 50 ml tubes containing a small cup with filter paper soaked in 2 ml of distilled water as an oviposition substrate."
PMC9596157.jsonl,"After feeding, the midguts of 10 fully engorged females were dissected and homogenized individually in 1 ml of distilled water."
PMC8528489.jsonl,"Pools of 20 female flies and 5 males were placed for 24 hr in a 50 mL tube, the cap of which contained 2 mL of the diet of interest, dyed with 0.25% of FD&C1 blue dye."
PMC8219384.jsonl,"A total of 14 individuals (seven females, seven males), mean age 35 ± 13 (SD, range: 9–65), were recruited."
PMC8219384.jsonl,"A total of 100 randomly selected dark hairs were manually plucked from one female and one male individual, including 25 hairs per head region (left and right temporal, top, and crown)."
PMC8024021.jsonl,"Plasma miRNA analysis of frozen samples was performed at Exiqon Services, Denmark.Randomized, crossover study in healthy subjectsThis was a randomized, double-blind study in 20 lean healthy male volunteers undertaken at the Edinburgh Clinical Research Facility between July 2010 and April 2012."
PMC9038193.jsonl,"For the Caching task, 17 chickadees were used (seven male, 3 female, 7 unknown)."
PMC7725498.jsonl,"Thus, we obtained full data sets from 232 participants (Placebo group: n = 116, females = 72, mean age = 24.36, SD = 7.918; L-DOPA group: n = 116, females = 71, mean age = 25.44, SD = 7.926)."
PMC8128438.jsonl,"A total of 41 people (28 female; age: mean = 28, SD = 5, min = 20, max = 40) participated in this study."
PMC7984841.jsonl,"Mated (for at least 3 days) females were used in all experiments.Axenic fly culturesFlies were raised axenically according to the protocol described in Guo et al., 2014."
PMC7806271.jsonl,"Time spent in this area was considered as ‘time spend it center’ and was calculated with Ethovision XT.EdU injectionFor cell birth-dating experiments, 10 mg/ml EdU solution, from Click-iT EdU imaging kit, was injected intraperitoneally in pregnant females at a dose of 30 µg/g body weight."
PMC9481243.jsonl,"On day 7 after full vaccination, sera from the immunized rats were collected.To evaluate the immune efficacy of mos-tri-RBD as a booster dose, a total of 30 Wistar rats, half male and half female, were intramuscularly primed with a dose (4 μg/dose) of the inactivated vaccine BBIBP-CorV."
PMC9253759.jsonl,"CEP250+/+ male and CEP250+/+ female (19 mating pairs and 141 offsprings), CEP250−/− male and CEP250+/+ female (9 mating pairs and 0 offsprings), and CEP250+/+ male and CEP250−/− female (12 mating pairs and 44 offsprings) were analyzed.HistopathologyMice were euthanized by cervical dislocation."
PMC9519146.jsonl,"MethodsSubjectsThe subjects were 61 adult naive male Wistar rats 12–16 weeks old and weighing between 350 and 400 g (purchased from the Federal University of São Paulo, Brazil)."
PMC8856653.jsonl,"Materials and methodsAnimalsWe used 16 common marmosets (C. jacchus) (8 males, 8 females; 394 ± 5 g; 40 ± 1 months) and three male Sprague-Dawley rats (320 ± 11 g) for measuring and defining breathing behaviors."
PMC9531951.jsonl,"The medium used for DRG neurons is Neurobasal medium (Gibco, Invitrogen, Milan, Italy) supplemented with 10% FBS (from Invitrogen, Life Technologies, Gaithersburg, MD).RodsRod cells were obtained from adult male Xenopus laevis as described in Mazzolini et al., 2015."
PMC9106327.jsonl,"The final sample was N = 3319 , with the proportion of women at 58.5%.Genotyping dataFor HRS, genotype data were accessed from the National Center for Biotechnology Information Genotypes and Phenotypes Database (dbGaP; HRS Health and Retirement Study, 2021)."
PMC8245126.jsonl,"Control participants (8 females, 11 right-handed, mean age = 59.1, SD = 10.2) were recruited from the same age range as the CD group, and, based on self-reports, did not have a history of neurological or psychiatric disorders."
PMC9129875.jsonl,Materials and methodsParticipantsThirty-six young adults (mean age ± SD = 23±3 years; 29 women; 3 left-handed) and thirty-nine older adults (mean age ± SD = 60±5 years; 31 women; 3 left-handed) were included in this study.
PMC8716104.jsonl,Six (5 females) participants (two of them also participated main experiment) were recruited in the Control Experiment 1.
PMC8594944.jsonl,"The volume of fly food consumed was normalized to the weight of individual flies (protocol adapted from Stafford et al., 2012).Male fertilityOne singly housed male was placed with a group of three virgin Canton-S (CS) females and allowed to interact for 60 min."
PMC7793253.jsonl,"Electron microscopy observations were made with Hitachi H-7650 transmission electron microscope (Tokyo, Japan) at 80 kV.Male fertility testSingle newly enclosed males were crossed with a virgin w1118 females for 3 days."
PMC8260220.jsonl,Oral informed consent was obtained from all participants under 12 years of age.VETSA Three hundred and thirty-one male twins (150 MZ/106 DZ paired twins/75 unpaired) were randomly recruited from the Vietnam Era Twin Registry and had imaging data at two time points.
PMC9098218.jsonl,"In particular, we followed exactly the same analysis steps as outlined in the analysis plan for study 1 (see section Analysis plan, data and code availability).ParticipantsIn total, 81 male volunteers (mean age 23.5 years [SD = 3.5, range = 18–35]) participated in study 2."
PMC9635873.jsonl,"Materials and methodsParticipants166 healthy volunteers (aged 18–35 years; 98 females, 6 identified as ‘other’) participated in either Experiment 1 (N=16), Experiment 2 (N=64), Experiment 3 (N=64), or Experiment 4 (N=22)."
PMC9090328.jsonl,"Materials and methodsParticipantsThirty-two infants (35–42 gestational weeks at birth, 0–7 days of age, 12 female; Table 1) were recruited from the postnatal, special care, and high dependency wards within the neonatal unit at University College London Hospital."
PMC8865851.jsonl,"C3a des-Arg was measured by ELISA (Wuhan Fine Biotech, China) (Scott et al., 2007).For in vivo acute toxicity assay, C57BL/6 (female, 18–20 g, n = 6) were intraperitoneally injected with PopuCATH at dose of 10, 20, and 40 mg/kg, respectively."
PMC9381036.jsonl,"Finally, our sample consisted of 1014 subjects (470 males) with a mean age of 28.7 years (range: 22–37).For the replication, we employed the UKB dataset (application ID: 41655) including 34,830 subjects’ imaging data."
PMC9090329.jsonl,"Six hundred nineteen English-speaking subjects [294 self-identified as women, 277 as men, 1 as other, and the rest of 47 unspecified; mean (minimum, maximum) age = 35.2 (18, 74) years] participated in the task through the online experimental recruiting platform Prolific Academic."
PMC9457683.jsonl,"Materials and methodsParticipantsThe study included 121 participants (61 females, mean age: 32.5±8.7 years; 109 right-handed) undergoing clinical intracerebral evaluation with depth electrodes (stereotactic electroencephalography or SEEG, Figure 1A) for refractory partial epilepsy."
PMC8096428.jsonl,"One hundred males and 100 females were randomly assigned to each of three groups for which tissues were collected at 6, 12, and 18 months of age."
PMC8871352.jsonl,"About 20–25 virgin females (depending on genotype) and 5 males were mated in 300 mL bottles with 50 mL standard 10% sucrose 10% yeast spiked with 500 μL Penicillin-Streptomycin 10,000 u/mL, 10 mg/mL in 0.9% sterile NaCl (Sigma-Aldrich, St. Louis, MO)."
PMC8776252.jsonl,"For the HCoV-229E, cells were infected at an MOI of 1 and were maintained for 24 and 48 hr.Hamster infection and tissues preparationGolden Syrian hamsters (Mesocricetus auratus) (males and females) aged 7 weeks old, weighing 96–116 g, were obtained from Envigo, London, UK."
PMC8143794.jsonl,"The final sample thus included 22 participants (10 male, 12 female, age range 19–32, mean age 25 ± 0.74)."
PMC8324293.jsonl,"The bacterial cultures were shaken for 10 s inside the instrument (TECAN) every 10,000 s.Analysis of fecal microbiotaThe fecal sample was obtained from a woman aged 25 years, collected in sterilized plastic tubes, and suspended at a dilution of 1/10 in PBS (pH 7.4)."
PMC8443252.jsonl,"Dead flies were counted every 12 hr.For oxidative stress assay, 5-day-old adult flies (females or males) were transferred from normal food to the vials containing normal food supplemented with 5% hydrogen peroxide (15–20 flies per vial)."
PMC8443252.jsonl,"Minimum 8 (guts) or 11 (fat bodies) samples per genotype were analyzed.Microarray analysisTotal RNA was extracted from ten 5-day-old male flies (w1118 or dSTINGΔ), fed or 24 hr starved, using ZR Tissue and Insect RNA MicroPrep (Zymo Research, #R2030) according to the manufacturer’s instructions."
PMC7963482.jsonl,"Materials and methodsParticipantsTwenty-four participants (13 female; age 18–28, mean 19.9 years) formed sample 1, previously described (Nee and D'Esposito, 2016)."
PMC7963482.jsonl,"Twenty-five participants (16 female; age 18–27; mean 20.6 years) formed sample 2, previously described (Nee and D'Esposito, 2017)."
PMC8942470.jsonl,women in 2019 or men in 2018).
PMC8547950.jsonl,"We categorized prolonged QTc intervals using this classification as normal (<450 ms for males, <460 ms for females), mildly prolonged (grade 1 or 2, ≥450 ms for males or ≥460 for females but ≤500 ms) and grade 3 or 4 (>500ms)."
PMC8321551.jsonl,"Ovaries were dissected from approximately 20 females (i.e., 6.0–6.8 days old) from each stock, and total nucleic acid isolated using a standard phenol/Sevag procedure (Khost et al., 2017)."
PMC7808736.jsonl,"Briefly, 40 Drosophila larvae (aged 60 ± 2 hr after egg laying) were exposed to 10 females and five male wasps for a duration of 6 hr at 25°."
PMC9531941.jsonl,"Materials and methodsParticipantsThis study included data from 265 adults (131 females) who were aged 18–50 (mean age 36.3, SD = 8.6) from the healthy, population-derived cohort tested in stage II of the Cam-CAN project (Shafto et al., 2014; Taylor et al., 2017)."
PMC8903828.jsonl,"For gregarious locusts, 10 females and 10 males at PAE 6 days were placed in a cage (30 cm × 30 cm × 30 cm)."
PMC8903828.jsonl,"For the stimulation of gregarious females, 10 gregarious females were reared with 10 gregarious males or 10 gregarious females in a same cage (15 cm × 15 cm × 10 cm) from PAE 1 to 6 days (Figure 1—figure supplement 2A)."
PMC8903828.jsonl,"For gregarious phase, 10 gregarious females were reared with 10 gregarious males or 10 gregarious females in a breathable partition cage (15 cm × 15 cm × 10 cm) from PAE 1 to 6 days (Figure 1—figure supplement 2C)."
PMC8903828.jsonl,"For solitarious phase, one solitarious female was reared with 10 gregarious males or 10 solitarious males in a breathable partition cage (15 cm × 15 cm × 10 cm) from PAE 1 to 6 days (Figure 1—figure supplement 2D)."
PMC8903828.jsonl,"In detail, a breathable vial containing the mixture or paraffin oil was placed with 10 virgin females in a cage for 6 days."
PMC8025657.jsonl,"Materials and methodsExperimental designForty-nine healthy English speakers completed this experiment (17 females; 18–55 years, median: 23 years)."
PMC9545527.jsonl,"MethodsExperimental model and subject detailsAnimalsThis study included 17 adult Rhesus Macaques (Macaca mulatta) (age 6–13; n = 12 female, n = 5 male) (Table 1)."
PMC8324301.jsonl,"Each treatment had 48 larvae with three repeats.Bioassay of F1 generation on Bt and non-Bt dietsTo obtain F1 generation offspring of each of the laboratory strains, one virgin adult male and one virgin adult female were paired in a 250 mL clear plastic cup."
PMC8324301.jsonl,"At larval hatch, 24 neonates from each female line were placed on non-Bt diet, and 24 neonates were placed on Cry1Ac-containing diet (1 μg of Cry1Ac/g diet)."
PMC9457682.jsonl,"Here, we highlight in brief the most important details for the current work.ParticipantsFor Dataset 130, we analyzed data from a study with 51 male volunteers (mean age 22)."
PMC9457682.jsonl,"For Dataset 222, we analyzed data from a study with 49 volunteers (26 male, mean age 28, range 19–40)."
PMC8880995.jsonl,"To study the sex-specific convergence patterns, we repeated the same analysis separating female (n = 11) and male (n = 36) individuals.Comparison of datasetsWe compared the age-related expression change patterns across tissues of all datasets analysed using Spearman’s correlation coefficient."
PMC7728443.jsonl,"Materials and methodsSubject recruitment and study visitsEighteen healthy participants aged 29–59 years (8 males, 10 females; 1 left-handed, 17 right-handed) were recruited from advertisements posted at the University Health Network (UHN)."
PMC9191896.jsonl,Each probe was independently assayed a minimum of two times (N ≥ 2) using five 40 dpf ovary lobes isolated from five females for each assay (n = 10).Single-molecule whole-mount RNA in situ hybridizationHCR RNA-FISH probes were ordered from Molecular Instruments.
PMC7755394.jsonl,"We collected 100 females for DNA extraction at generation 0, generation 20, and generation 50."
PMC7755394.jsonl,"We maintained all six replicate populations as non-overlapping generations, collecting 100 females at generations 0, 10, and 20 for pool-DNA-seq on each replicate (for a total of six samples)."
